Turn left	{"graph_name": "fsm_graph_0", "graph_description": "", "umrf_actions": [{"name": "TaManouevre", "package_name": "ta_manouevre", "description": "Turn left", "id": 0, "effect": "synchronous", "input_parameters": {"direction": {"pvf_type": "string", "pvf_example": "left"}, "verb": {"pvf_type": "string", "pvf_example": "turn"}}}]}
Pick up the alarm clock from the dresser.	{"graph_name": "fsm_graph_1", "graph_description": "", "umrf_actions": [{"name": "TaPickup", "package_name": "ta_pickup", "description": "Pick up the alarm clock from the dresser.", "id": 0, "effect": "synchronous", "input_parameters": {"locale": {"pvf_type": "string", "pvf_example": "from the dresser"}, "object": {"pvf_type": "string", "pvf_example": "alarm clock"}, "verb": {"pvf_type": "string", "pvf_example": "Pick up"}}}]}
turn to the left to face the dresser	{"graph_name": "fsm_graph_10", "graph_description": "", "umrf_actions": [{"name": "TaManouevre", "package_name": "ta_manouevre", "description": "turn to the left to face the dresser", "id": 0, "effect": "synchronous", "input_parameters": {"direction": {"pvf_type": "string", "pvf_example": "left"}, "verb": {"pvf_type": "string", "pvf_example": "turn"}}}]}
Pick up the alarm clock from the dresser	{"graph_name": "fsm_graph_100", "graph_description": "", "umrf_actions": [{"name": "TaPickup", "package_name": "ta_pickup", "description": "Pick up the alarm clock from the dresser", "id": 0, "effect": "synchronous", "input_parameters": {"locale": {"pvf_type": "string", "pvf_example": "the dresser"}, "object": {"pvf_type": "string", "pvf_example": "the alarm clock"}, "verb": {"pvf_type": "string", "pvf_example": "Pick up"}}}]}
Take the basketball from underneath the edge of the table.	{"graph_name": "fsm_graph_1000", "graph_description": "", "umrf_actions": [{"name": "TaPickup", "package_name": "ta_pickup", "description": "Take the basketball from underneath the edge of the table.", "id": 0, "effect": "synchronous", "input_parameters": {"locale": {"pvf_type": "string", "pvf_example": "from underneath the edge of the table"}, "object": {"pvf_type": "string", "pvf_example": "the basketball"}, "verb": {"pvf_type": "string", "pvf_example": "Take"}}}]}
Turn around and walk across the room to the desk.	{"graph_name": "fsm_graph_1001", "graph_description": "", "umrf_actions": [{"name": "TaManoeuvre", "package_name": "ta_manoeuvre", "description": "Turn around ", "id": 0, "effect": "synchronous", "input_parameters": {"direction": {"pvf_type": "string", "pvf_example": "around"}, "verb": {"pvf_type": "string", "pvf_example": "Turn"}}, "children": [{"name": "TaNavigation", "id": 0}]}, {"name": "TaNavigation", "package_name": "ta_navigation", "description": "and walk across the room to the desk.", "id": 0, "effect": "synchronous", "input_parameters": {"location": {"pvf_type": "string", "pvf_example": "to the desk"}, "verb": {"pvf_type": "string", "pvf_example": "walk"}}, "parents": [{"name": "TaManoeuvre", "id": 0}]}]}
Turn on the lamp on the upper shelf of the desk.	{"graph_name": "fsm_graph_1002", "graph_description": "", "umrf_actions": [{"name": "TaToggle", "package_name": "ta_toggle", "description": "Turn on the lamp on the upper shelf of the desk.", "id": 0, "effect": "synchronous", "input_parameters": {"locale": {"pvf_type": "string", "pvf_example": "upper shelf of the desk"}, "object": {"pvf_type": "string", "pvf_example": "the lamp"}, "state": {"pvf_type": "string", "pvf_example": "on"}, "verb": {"pvf_type": "string", "pvf_example": "Turn"}}}]}
To see the basketball in the light.	{"graph_name": "fsm_graph_1003", "graph_description": "", "umrf_actions": [{"name": "TaSurvey", "package_name": "ta_survey", "description": "To see the basketball in the light.", "id": 0, "effect": "synchronous", "input_parameters": {"object": {"pvf_type": "string", "pvf_example": "basketball"}, "verb": {"pvf_type": "string", "pvf_example": "see"}}}]}
Move across the room to the white desk under the bedroom window	{"graph_name": "fsm_graph_1004", "graph_description": "", "umrf_actions": [{"name": "TaNavigation", "package_name": "ta_navigation", "description": "Move across the room to the white desk under the bedroom window", "id": 0, "effect": "synchronous", "input_parameters": {"location": {"pvf_type": "string", "pvf_example": "to the white desk under the bedroom window"}, "verb": {"pvf_type": "string", "pvf_example": "Move"}}}]}
pick up the basketball sitting under the desk	{"graph_name": "fsm_graph_1005", "graph_description": "", "umrf_actions": [{"name": "TaPickup", "package_name": "ta_pickup", "description": "pick up the basketball sitting under the desk", "id": 0, "effect": "synchronous", "input_parameters": {"locale": {"pvf_type": "string", "pvf_example": "sitting under the desk"}, "object": {"pvf_type": "string", "pvf_example": "the basketball"}, "verb": {"pvf_type": "string", "pvf_example": "pick up"}}}]}
Carry the basketball and move to the wood colored desk located to the right of the bed	{"graph_name": "fsm_graph_1006", "graph_description": "", "umrf_actions": [{"name": "TaTransport", "package_name": "ta_transport", "description": "Carry the basketball and move to the wood colored desk located to the right of the bed", "id": 0, "effect": "synchronous", "input_parameters": {"location": {"pvf_type": "string", "pvf_example": "to the wood colored desk located to the right of the bed"}, "object": {"pvf_type": "string", "pvf_example": "the basketball"}, "verb": {"pvf_type": "string", "pvf_example": "Carry"}}}]}
